"total_gallons_fuel_domestic","unique_carrier","year","month"
60441448,"B6",2018,7
0,"CP",2018,6
0,"MQ",2018,11
0,"YV",2019,5
33760047,"NK",2019,4
64273462,"AS",2018,8
22805754,"F9",2019,5
0,"OH",2018,12
0,"EV",2019,1
8454586,"OO",2018,8
15068216,"HA",2018,4
181163772,"DL",2018,3
7207367,"OO",2018,2
33454,"YX",2018,4
36737363,"NK",2019,6
19838849,"F9",2018,1
0,"9E",2018,9
19559991,"F9",2018,6
37786,"YX",2018,11
0,"EV",2018,8
8108076,"OO",2018,6
39098822,"NK",2019,8
59886993,"B6",2018,5
0,"YV",2018,12
0,"OH",2018,7
0,"QX",2019,5
0,"YV",2019,7
15074904,"HA",2019,3
18888,"YX",2019,5
0,"9E",2019,7
10437749,"G4",2019,9
0,"CP",2018,7
143930940,"UA",2018,12
0,"9E",2018,1
31404327,"NK",2018,12
0,"MQ",2018,5
22899112,"F9",2019,6
137776920,"UA",2018,4
190645694,"DL",2018,6
0,"CP",2018,10
0,"9E",2019,9
19581384,"F9",2018,9
56481306,"AS",2018,9
13919,"YX",2019,4
0,"MQ",2019,4
189080213,"WN",2018,7
0,"QX",2018,12
171809048,"AA",2019,2
0,"MQ",2019,2
0,"OH",2019,1
181531340,"AA",2018,9
0,"9E",2018,2
22245,"YX",2019,8
19201138,"F9",2018,3
28643322,"NK",2018,10
35893084,"NK",2019,3
0,"OH",2018,2
27408648,"NK",2018,2
198074942,"DL",2019,6
0,"9E",2019,5
0,"CP",2019,2
182204854,"AA",2019,9
30762732,"NK",2018,4
113046868,"UA",2018,2
0,"OH",2018,1
58393891,"AS",2018,12
190720066,"AA",2018,10
0,"QX",2019,2
0,"9E",2018,12
14124731,"G4",2018,1
0,"YV",2019,2
0,"EV",2019,8
0,"MQ",2019,3
0,"CP",2019,8
55217487,"B6",2019,9
0,"OH",2019,7
38320573,"NK",2019,7
0,"9E",2019,4
0,"CP",2018,5
8834786,"OO",2019,9
27361,"YX",2019,7
168745755,"DL",2018,11
25073216,"F9",2019,7
0,"YV",2019,6
128594032,"UA",2019,1
0,"OH",2018,10
61930261,"AS",2019,5
178774406,"AA",2018,11
55214112,"B6",2019,1
0,"G7",2018,3
