"origin","total_departures","total_departing_passengers","year","month"
"ALS",103,645,2018,10
"ALS",94,516,2018,11
"ALS",93,540,2018,12
"ALS",101,479,2019,1
"ALS",90,485,2019,2
"ALS",97,553,2019,3
"ALS",101,529,2019,4
"ALS",106,671,2019,5
"ALS",101,682,2019,6
"ALS",132,734,2019,7
"ALS",127,845,2019,8
"ALS",118,699,2019,9
"ALS",129,734,2019,10
"ALS",118,609,2019,11
"ALS",118,609,2019,12
"ALW",80,3934,2018,1
"ALW",75,3755,2018,2
"ALW",81,4765,2018,3
"ALW",77,4327,2018,4
"ALW",79,4618,2018,5
"ALW",76,4442,2018,6
"ALW",80,4242,2018,7
"ALW",74,3871,2018,8
"ALW",60,3518,2018,9
"ALW",62,3718,2018,10
"ALW",69,3842,2018,11
"ALW",82,4453,2018,12
"ALW",64,3119,2019,1
"ALW",45,2575,2019,2
"ALW",71,4077,2019,3
"ALW",76,3984,2019,4
"ALW",80,4579,2019,5
"ALW",77,4635,2019,6
"ALW",78,4086,2019,7
"ALW",79,4171,2019,8
"ALW",76,4356,2019,9
"ALW",79,4757,2019,10
"ALW",68,4140,2019,11
"ALW",71,4780,2019,12
"ALZ",3,1,2018,2
"ALZ",7,4,2018,5
"ALZ",4,3,2018,6
"ALZ",5,2,2018,7
"ALZ",3,1,2018,8
"ALZ",1,1,2018,9
"ALZ",1,0,2018,12
"ALZ",1,0,2019,5
"ALZ",3,2,2019,6
"ALZ",6,11,2019,7
"ALZ",1,3,2019,9
"AMA",444,24535,2018,1
"AMA",419,24719,2018,2
"AMA",469,28451,2018,3
"AMA",488,28811,2018,4
"AMA",536,34219,2018,5
"AMA",525,35147,2018,6
"AMA",535,35717,2018,7
"AMA",555,32621,2018,8
"AMA",527,30224,2018,9
"AMA",547,32270,2018,10
"AMA",522,32719,2018,11
"AMA",508,30991,2018,12
"AMA",493,25877,2019,1
"AMA",446,25200,2019,2
"AMA",485,30088,2019,3
"AMA",486,28388,2019,4
"AMA",501,33310,2019,5
"AMA",489,34557,2019,6
"AMA",510,35398,2019,7
"AMA",505,30971,2019,8
"AMA",483,29786,2019,9
"AMA",495,31618,2019,10
"AMA",481,29555,2019,11
"AMA",457,32769,2019,12
"AMW",1,0,2018,6
"ANB",2,0,2018,1
"ANB",2,0,2018,2
"ANB",2,37,2018,4
"ANB",1,0,2018,6
"ANB",2,0,2018,8
"ANB",2,0,2018,9
"ANB",4,36,2018,10
"ANB",5,273,2018,11
"ANB",1,0,2018,12
"ANB",1,0,2019,1
"ANB",3,135,2019,5
"ANB",1,0,2019,6
"ANB",6,0,2019,8
"ANB",7,153,2019,10
"ANB",4,0,2019,11
"ANC",5185,156173,2018,1
"ANC",4462,137929,2018,2
"ANC",5413,178671,2018,3
"ANC",5272,162971,2018,4
"ANC",5852,212164,2018,5
"ANC",6749,295162,2018,6
"ANC",6958,340295,2018,7
"ANC",6839,336083,2018,8
"ANC",5957,232970,2018,9
"ANC",5650,181543,2018,10
"ANC",5261,170352,2018,11
"ANC",5243,178455,2018,12
"ANC",4937,157686,2019,1
"ANC",4208,140496,2019,2
"ANC",5232,182789,2019,3
"ANC",4846,161914,2019,4
"ANC",5616,213785,2019,5
"ANC",6441,297181,2019,6
"ANC",7105,351713,2019,7
"ANC",6829,348102,2019,8
"ANC",5868,242728,2019,9
"ANC",5480,190300,2019,10
"ANC",5242,174136,2019,11
"ANC",5268,197211,2019,12
"AND",1,29,2018,1
"AND",3,81,2018,2
"AND",1,30,2018,10
"AND",1,7,2018,11
"AND",1,28,2019,1
"AND",2,75,2019,2
"AND",1,29,2019,11
"ANI",423,1048,2018,1
"ANI",338,786,2018,2
"ANI",397,876,2018,3
"ANI",442,1049,2018,4
"ANI",506,1153,2018,5
"ANI",506,1109,2018,6
"ANI",459,1047,2018,7
"ANI",525,1343,2018,8
"ANI",477,1206,2018,9
"ANI",514,1266,2018,10
"ANI",445,1053,2018,11
"ANI",409,1036,2018,12
"ANI",466,1082,2019,1
"ANI",436,865,2019,2
"ANI",446,1122,2019,3
"ANI",534,1150,2019,4
"ANI",536,1420,2019,5
"ANI",497,1129,2019,6
"ANI",460,1208,2019,7
"ANI",540,1393,2019,8
"ANI",498,1199,2019,9
"ANI",522,1283,2019,10
"ANI",377,890,2019,11
"ANI",467,1223,2019,12
"ANP",1,6,2018,5
"ANP",1,4,2019,6
"ANV",44,97,2018,1
"ANV",29,51,2018,2
"ANV",46,111,2018,3
"ANV",40,85,2018,4
"ANV",63,123,2018,5
"ANV",64,117,2018,6
"ANV",66,154,2018,7
"ANV",67,208,2018,8
"ANV",64,170,2018,9
"ANV",60,131,2018,10
"ANV",37,82,2018,11
"ANV",41,86,2018,12
"ANV",40,75,2019,1
"ANV",41,100,2019,2
