,Arrivals Busyness ID,Avg Daily Arrivals (Month and Weekday)
344,A-ABY-10-1,3.0
345,A-ABY-10-2,2.9
346,A-ABY-10-3,2.888888888888889
347,A-ABY-10-4,3.0
348,A-ABY-10-5,2.0
349,A-ABY-10-6,3.0
350,A-ABY-11-0,2.75
351,A-ABY-11-1,2.75
352,A-ABY-11-2,3.0
353,A-ABY-11-3,2.888888888888889
354,A-ABY-11-4,2.9
355,A-ABY-11-5,2.2222222222222223
356,A-ABY-11-6,2.875
357,A-ABY-12-0,2.6
358,A-ABY-12-1,2.6666666666666665
359,A-ABY-12-2,2.75
360,A-ABY-12-3,2.75
361,A-ABY-12-4,2.75
362,A-ABY-12-5,2.0
363,A-ABY-12-6,2.7
364,A-ABY-2-0,3.0
365,A-ABY-2-1,3.0
366,A-ABY-2-2,2.875
367,A-ABY-2-3,3.0
368,A-ABY-2-4,3.0
369,A-ABY-2-5,2.0
370,A-ABY-2-6,2.5
371,A-ABY-3-0,3.0
372,A-ABY-3-1,3.0
373,A-ABY-3-2,3.0
374,A-ABY-3-3,3.0
375,A-ABY-3-4,3.0
376,A-ABY-3-5,2.0
377,A-ABY-3-6,3.0
378,A-ABY-4-0,3.0
379,A-ABY-4-1,3.0
380,A-ABY-4-2,3.0
381,A-ABY-4-3,3.0
382,A-ABY-4-4,3.0
383,A-ABY-4-5,2.0
384,A-ABY-4-6,3.0
385,A-ABY-5-0,3.0
386,A-ABY-5-1,3.0
387,A-ABY-5-2,3.0
388,A-ABY-5-3,3.0
389,A-ABY-5-4,3.0
390,A-ABY-5-5,2.0
391,A-ABY-5-6,2.75
392,A-ABY-6-0,3.0
393,A-ABY-6-1,3.0
394,A-ABY-6-2,3.0
395,A-ABY-6-3,3.0
396,A-ABY-6-4,3.0
397,A-ABY-6-5,2.1
398,A-ABY-6-6,2.888888888888889
399,A-ABY-7-0,2.9
400,A-ABY-7-1,2.9
401,A-ABY-7-2,2.7777777777777777
402,A-ABY-7-3,2.875
403,A-ABY-7-4,2.875
404,A-ABY-7-5,2.125
405,A-ABY-7-6,3.0
406,A-ABY-8-0,3.0
407,A-ABY-8-1,3.0
408,A-ABY-8-2,3.0
409,A-ABY-8-3,3.0
410,A-ABY-8-4,3.0
411,A-ABY-8-5,2.0
412,A-ABY-8-6,3.0
413,A-ABY-9-0,2.7777777777777777
414,A-ABY-9-1,2.75
415,A-ABY-9-2,2.75
416,A-ABY-9-3,2.75
417,A-ABY-9-4,2.75
418,A-ABY-9-5,2.0
419,A-ABY-9-6,2.8
420,A-ACK-10-0,2.142857142857143
421,A-ACK-10-1,1.4
422,A-ACK-10-2,1.0
423,A-ACK-10-3,2.0
424,A-ACK-10-4,2.6666666666666665
425,A-ACK-10-5,1.6666666666666667
426,A-ACK-10-6,2.5
427,A-ACK-5-0,3.5
428,A-ACK-5-1,1.75
429,A-ACK-5-2,1.0
430,A-ACK-5-3,2.8333333333333335
431,A-ACK-5-4,2.7777777777777777
432,A-ACK-5-5,1.75
433,A-ACK-5-6,2.0
434,A-ACK-6-0,6.25
435,A-ACK-6-1,3.875
436,A-ACK-6-2,4.0
437,A-ACK-6-3,7.25
438,A-ACK-6-4,10.222222222222221
439,A-ACK-6-5,9.6
440,A-ACK-6-6,9.777777777777779
441,A-ACK-7-0,12.1
442,A-ACK-7-1,10.5
443,A-ACK-7-2,10.777777777777779
444,A-ACK-7-3,12.0
445,A-ACK-7-4,15.375
446,A-ACK-7-5,18.5
447,A-ACK-7-6,16.88888888888889
448,A-ACK-8-0,11.75
449,A-ACK-8-1,10.25
450,A-ACK-8-2,10.222222222222221
451,A-ACK-8-3,11.6
452,A-ACK-8-4,16.0
453,A-ACK-8-5,18.77777777777778
454,A-ACK-8-6,17.5
455,A-ACK-9-0,6.0
456,A-ACK-9-1,3.875
457,A-ACK-9-2,2.875
458,A-ACK-9-3,4.625
459,A-ACK-9-4,6.125
460,A-ACK-9-5,5.222222222222222
461,A-ACK-9-6,7.7
462,A-ACT-1-0,3.888888888888889
463,A-ACT-1-1,3.4
464,A-ACT-1-2,4.0
465,A-ACT-1-3,3.888888888888889
466,A-ACT-1-4,4.0
467,A-ACT-1-5,2.25
468,A-ACT-1-6,3.75
469,A-ACT-10-0,5.0
470,A-ACT-10-1,5.0
471,A-ACT-10-2,4.9
472,A-ACT-10-3,4.888888888888889
473,A-ACT-10-4,5.0
474,A-ACT-10-5,3.5
475,A-ACT-10-6,4.5
476,A-ACT-11-0,5.125
477,A-ACT-11-1,4.75
478,A-ACT-11-2,4.75
479,A-ACT-11-3,4.555555555555555
480,A-ACT-11-4,4.8
481,A-ACT-11-5,4.222222222222222
482,A-ACT-11-6,5.25
483,A-ACT-12-0,4.1
484,A-ACT-12-1,3.888888888888889
485,A-ACT-12-2,4.5
486,A-ACT-12-3,4.5
487,A-ACT-12-4,4.5
488,A-ACT-12-5,3.7777777777777777
489,A-ACT-12-6,4.8
490,A-ACT-2-0,4.0
491,A-ACT-2-1,3.75
492,A-ACT-2-2,4.0
493,A-ACT-2-3,4.0
494,A-ACT-2-4,4.0
495,A-ACT-2-5,2.5
496,A-ACT-2-6,4.0
497,A-ACT-3-0,4.0
498,A-ACT-3-1,4.0
499,A-ACT-3-2,4.0
500,A-ACT-3-3,4.0
501,A-ACT-3-4,4.0
502,A-ACT-3-5,3.0
503,A-ACT-3-6,4.0
504,A-ACT-4-0,5.2
505,A-ACT-4-1,4.555555555555555
506,A-ACT-4-2,4.875
507,A-ACT-4-3,5.5
508,A-ACT-4-4,5.5
509,A-ACT-4-5,3.5
510,A-ACT-4-6,5.333333333333333
511,A-ACT-5-0,5.375
512,A-ACT-5-1,5.333333333333333
513,A-ACT-5-2,5.3
514,A-ACT-5-3,5.4
515,A-ACT-5-4,5.555555555555555
516,A-ACT-5-5,4.875
517,A-ACT-5-6,5.25
518,A-ACT-6-0,5.5
519,A-ACT-6-1,5.5
520,A-ACT-6-2,5.375
521,A-ACT-6-3,5.5
522,A-ACT-6-4,5.444444444444445
523,A-ACT-6-5,5.0
524,A-ACT-6-6,5.555555555555555
525,A-ACT-7-0,5.4
526,A-ACT-7-1,5.3
527,A-ACT-7-2,5.111111111111111
528,A-ACT-7-3,5.125
529,A-ACT-7-4,5.25
530,A-ACT-7-5,5.0
531,A-ACT-7-6,5.444444444444445
532,A-ACT-8-0,5.375
533,A-ACT-8-1,5.125
534,A-ACT-8-2,5.222222222222222
535,A-ACT-8-3,5.3
536,A-ACT-8-4,5.3
537,A-ACT-8-5,4.555555555555555
538,A-ACT-8-6,5.125
539,A-ACT-9-0,5.0
540,A-ACT-9-1,5.0
541,A-ACT-9-2,5.0
542,A-ACT-9-3,5.0
543,A-ACT-9-4,5.0
544,A-ACT-9-5,3.4444444444444446
545,A-ACT-9-6,4.4
546,A-ACV-1-0,3.4444444444444446
547,A-ACV-1-1,3.7
548,A-ACV-1-2,3.7
549,A-ACV-1-3,3.6666666666666665
550,A-ACV-1-4,3.625
551,A-ACV-1-5,3.625
552,A-ACV-1-6,3.75
553,A-ACV-10-0,5.777777777777778
554,A-ACV-10-1,5.8
555,A-ACV-10-2,5.8
556,A-ACV-10-3,5.888888888888889
557,A-ACV-10-4,5.875
558,A-ACV-10-5,5.125
559,A-ACV-10-6,6.0
560,A-ACV-11-0,6.0
561,A-ACV-11-1,6.0
562,A-ACV-11-2,5.875
563,A-ACV-11-3,5.444444444444445
564,A-ACV-11-4,6.0
565,A-ACV-11-5,6.111111111111111
566,A-ACV-11-6,6.0
567,A-ACV-12-0,5.8
568,A-ACV-12-1,6.0
569,A-ACV-12-2,5.75
570,A-ACV-12-3,6.0
571,A-ACV-12-4,6.0
572,A-ACV-12-5,5.888888888888889
573,A-ACV-12-6,6.0
574,A-ACV-2-0,3.5
575,A-ACV-2-1,3.5
576,A-ACV-2-2,3.5
577,A-ACV-2-3,3.5
578,A-ACV-2-4,3.5
579,A-ACV-2-5,3.5
580,A-ACV-2-6,3.5
581,A-ACV-3-0,3.5
582,A-ACV-3-1,3.5
583,A-ACV-3-2,3.5
584,A-ACV-3-3,3.4444444444444446
585,A-ACV-3-4,3.5
586,A-ACV-3-5,3.5
587,A-ACV-3-6,3.5555555555555554
588,A-ACV-4-0,3.5
589,A-ACV-4-1,3.5555555555555554
590,A-ACV-4-2,3.5
591,A-ACV-4-3,3.5
592,A-ACV-4-4,3.5
593,A-ACV-4-5,3.5
594,A-ACV-4-6,3.4444444444444446
595,A-ACV-5-0,3.5
596,A-ACV-5-1,3.4444444444444446
597,A-ACV-5-2,3.6
598,A-ACV-5-3,3.6
599,A-ACV-5-4,3.6666666666666665
600,A-ACV-5-5,3.5
601,A-ACV-5-6,3.5
602,A-ACV-6-0,5.125
603,A-ACV-6-1,5.125
604,A-ACV-6-2,5.125
605,A-ACV-6-3,5.5
606,A-ACV-6-4,5.222222222222222
607,A-ACV-6-5,5.6
608,A-ACV-6-6,5.222222222222222
609,A-ACV-7-0,5.5
610,A-ACV-7-1,5.4
611,A-ACV-7-2,5.333333333333333
612,A-ACV-7-3,5.25
613,A-ACV-7-4,5.25
614,A-ACV-7-5,5.75
615,A-ACV-7-6,5.444444444444445
616,A-ACV-8-0,6.125
617,A-ACV-8-1,6.25
618,A-ACV-8-2,6.111111111111111
619,A-ACV-8-3,6.2
620,A-ACV-8-4,6.2
621,A-ACV-8-5,6.777777777777778
622,A-ACV-8-6,6.125
623,A-ACV-9-0,5.444444444444445
624,A-ACV-9-1,5.25
625,A-ACV-9-2,5.0
626,A-ACV-9-3,5.0
627,A-ACV-9-4,5.0
628,A-ACV-9-5,4.888888888888889
629,A-ACV-9-6,4.9
630,A-ACY-1-0,10.0
631,A-ACY-1-1,9.4
632,A-ACY-1-2,9.0
633,A-ACY-1-3,10.0
634,A-ACY-1-4,10.0
635,A-ACY-1-5,10.0
636,A-ACY-1-6,10.0
637,A-ACY-10-0,8.555555555555555
638,A-ACY-10-1,6.0
639,A-ACY-10-2,6.0
640,A-ACY-10-3,7.888888888888889
641,A-ACY-10-4,8.5
642,A-ACY-10-5,8.5
643,A-ACY-10-6,8.0
644,A-ACY-11-0,9.375
645,A-ACY-11-1,8.25
646,A-ACY-11-2,8.125
647,A-ACY-11-3,9.555555555555555
648,A-ACY-11-4,9.5
649,A-ACY-11-5,9.444444444444445
650,A-ACY-11-6,9.25
651,A-ACY-12-0,9.8
652,A-ACY-12-1,8.333333333333334
653,A-ACY-12-2,8.625
654,A-ACY-12-3,10.0
655,A-ACY-12-4,10.0
656,A-ACY-12-5,10.0
657,A-ACY-12-6,10.0
658,A-ACY-2-0,10.0
659,A-ACY-2-1,9.5
660,A-ACY-2-2,9.428571428571429
661,A-ACY-2-3,10.0
662,A-ACY-2-4,10.0
663,A-ACY-2-5,10.0
664,A-ACY-2-6,10.0
665,A-ACY-3-0,10.0
666,A-ACY-3-1,10.0
667,A-ACY-3-2,10.0
668,A-ACY-3-3,10.0
669,A-ACY-3-4,10.0
670,A-ACY-3-5,10.0
671,A-ACY-3-6,10.0
672,A-ACY-4-0,9.7
673,A-ACY-4-1,9.555555555555555
674,A-ACY-4-2,9.75
675,A-ACY-4-3,9.25
676,A-ACY-4-4,9.625
677,A-ACY-4-5,9.625
678,A-ACY-4-6,9.333333333333334
679,A-ACY-5-0,8.5
680,A-ACY-5-1,7.888888888888889
681,A-ACY-5-2,8.6
682,A-ACY-5-3,8.0
683,A-ACY-5-4,8.444444444444445
684,A-ACY-5-5,8.5
685,A-ACY-5-6,8.0
686,A-ACY-6-0,8.375
687,A-ACY-6-1,7.875
