,,Different Marketer & Operator Carrier Code,Flight Number,Flight Year,Flight Month,Flight Day,Flight Weekday,Proportion of freight to the payload,Proportion of mail to the payload,Proportion of filled seats,Average payload (lbs),Average number of available seats,Distance interval (x500mi),Distance (miles),Scheduled Elapsed Time,Flights Count_origin,Average Flights Per Day_origin,Busyness Score_origin,Scheduled hour of departure,Precipitation (mm)_origin,Snowfall (mm)_origin,Maximum Temperature (*C)_origin,Avg Pressure for the day (hPa)_origin,Avg Wind Speed (m/s)_origin,Avg Humidity (%)_origin,Fog_origin,Thunder_origin,Smoke_or_Haze_origin,Flights Count_destination,Average Flights Per Day_destination,Busyness Score_destination,Scheduled hour of arrival,Precipitation (mm)_destination,Snowfall (mm)_destination,Maximum Temperature (*C)_destination,Avg Pressure for the day (hPa)_destination,Avg Wind Speed (m/s)_destination,Avg Humidity (%)_destination,Fog_destination,Thunder_destination,Smoke_or_Haze_destination,Departure Delay (minutes),Arrival Delay (minutes),Carrier Delay (minutes),Weather Delay (minutes),National Air System Delay (minutes),Security Delay (minutes),Late Aircraft Delay (minutes),cancelled,cancellation_code,diverted,Operator - Unique Carrier Code2_9E,Operator - Unique Carrier Code2_9K,Operator - Unique Carrier Code2_AA,Operator - Unique Carrier Code2_AS,Operator - Unique Carrier Code2_AX,Operator - Unique Carrier Code2_B6,Operator - Unique Carrier Code2_C5,Operator - Unique Carrier Code2_CP,Operator - Unique Carrier Code2_DL,Operator - Unique Carrier Code2_EM,Operator - Unique Carrier Code2_EV,Operator - Unique Carrier Code2_F9,Operator - Unique Carrier Code2_G4,Operator - Unique Carrier Code2_G7,Operator - Unique Carrier Code2_HA,Operator - Unique Carrier Code2_KS,Operator - Unique Carrier Code2_MQ,Operator - Unique Carrier Code2_NK,Operator - Unique Carrier Code2_OH,Operator - Unique Carrier Code2_OO,Operator - Unique Carrier Code2_PT,Operator - Unique Carrier Code2_QX,Operator - Unique Carrier Code2_UA,Operator - Unique Carrier Code2_VX,Operator - Unique Carrier Code2_WN,Operator - Unique Carrier Code2_YV,Operator - Unique Carrier Code2_YX,Operator - Unique Carrier Code2_ZW,Aircraft group2_4.0,Aircraft group2_6.0,Aircraft group2_UNK,Aircraft type2_432.0,Aircraft type2_441.0,Aircraft type2_482.0,Aircraft type2_530.0,Aircraft type2_608.0,Aircraft type2_612.0,Aircraft type2_614.0,Aircraft type2_622.0,Aircraft type2_623.0,Aircraft type2_624.0,Aircraft type2_626.0,Aircraft type2_627.0,Aircraft type2_629.0,Aircraft type2_631.0,Aircraft type2_634.0,Aircraft type2_638.0,Aircraft type2_655.0,Aircraft type2_656.0,Aircraft type2_673.0,Aircraft type2_675.0,Aircraft type2_676.0,Aircraft type2_677.0,Aircraft type2_678.0,Aircraft type2_687.0,Aircraft type2_694.0,Aircraft type2_696.0,Aircraft type2_698.0,Aircraft type2_699.0,Aircraft type2_721.0,Aircraft type2_722.0,Aircraft type2_723.0,Aircraft type2_887.0,Aircraft type2_888.0,Aircraft type2_UNK,Aircraft configuration2_1.0,Aircraft configuration2_2.0,Aircraft configuration2_UNK,Service class2_F,Service class2_G,Service class2_L,Service class2_UNK,Airport Type_origin2_large_airport,Airport Type_origin2_medium_airport,Airport Type_origin2_small_airport,Airport Type_destination2_large_airport,Airport Type_destination2_medium_airport,Airport Type_destination2_small_airport
68,Operator - Unique Carrier Code2_OH,0.244538032,0.266557996,0.003969706,-0.001107279,-0.001687305,-0.002434139,-0.024131848,-0.144612622,-0.00875644,-0.188882491,-0.224933862,-0.116418822,-0.12004642,-0.110701551,-0.029814153,-0.029455699,-0.00947523,0.008325064,0.018609855,-0.009839664,0.002006482,0.051800412,-0.05225783,0.059866747,0.045234478,,,-0.03616043,-0.035687684,-0.009639405,0.010745415,0.018183881,-0.011678452,0.001414753,0.051051658,-0.05510344,0.056939225,0.040678218,,,0.004500576,0.013629487,0.000708906,0.008889994,-0.008867786,0.001778423,0.011815712,,,,-0.033893524,-0.002324357,-0.068673452,-0.034625447,-0.018132539,-0.036204297,-0.014508971,-0.020656125,-0.070810118,-0.006523893,-0.026749237,-0.023297416,-0.021298839,-0.019022027,-0.019915537,-0.002471325,-0.037391447,-0.029453316,1,-0.062634603,-0.021901624,-0.023437336,-0.055307474,-0.006209617,-0.08620681,-0.031110728,-0.038646621,-0.021060006,-0.019672933,0.014830146,-0.00127223,-0.002471325,-0.006505824,-0.018375086,-0.001532569,-0.031859769,-0.080104189,-0.06085276,-0.026162926,-0.009607629,-0.006075508,-0.006909512,-0.009333449,0.082768377,0.271665985,-0.004055608,0.319841181,-0.031754286,-0.012703546,-0.060482134,-0.045276541,-0.020656125,-0.021060006,-0.024110414,-0.001747415,-0.051407452,-0.00696045,-0.04514863,-0.05103962,-0.006559881,-0.019284915,-0.008985644,-0.000685368,-0.049711008,-0.00127223,0.002615022,-0.005310921,-0.00127223,0.002958466,-0.005310921,-0.002741744,-0.00127223,-0.074382856,0.076031939,-0.009257278,-0.08224664,0.08396949,-0.00940901
69,Operator - Unique Carrier Code2_OO,0.434230121,0.32670977,0.009168766,0.007249334,-0.000275315,-0.00269481,,,-0.080060823,-0.393440823,-0.421541183,-0.157503314,-0.162333865,-0.14544066,-0.028441845,-0.029494256,0.021456385,-0.000943394,-0.035420656,0.029483762,-0.058487682,-0.183720667,-0.009077954,-0.017915871,-0.004302305,,,-0.033286684,-0.034755678,0.025441472,0.004777564,-0.039451564,0.030532952,-0.058110164,-0.183085268,-0.006576585,-0.0168444,-0.006425709,,,-0.034624067,-0.015102211,-0.015682257,0.002447373,-0.002092489,0.00379612,0.007150136,,,,-0.060185276,-0.004127398,-0.121944554,-0.061484964,-0.032198242,-0.064288553,-0.025763814,-0.036679413,-0.125738666,-0.011584582,-0.047499051,-0.041369597,-0.037820691,-0.03377772,-0.035364339,-0.004388372,-0.066396594,-0.052300727,-0.062634603,1,-0.038891066,-0.041618055,-0.098210372,-0.011026518,-0.153078821,-0.055243821,-0.068625427,-0.037396592,-0.034933543,0.024015229,0.000986519,-0.004388372,-0.011552497,-0.032628937,-0.002721408,-0.056573905,-0.142242298,-0.108057225,-0.046457928,-0.017060421,-0.010788378,-0.012269332,-0.016573556,0.501076866,0.211548679,-0.007201608,0.013848685,-0.056386596,-0.02255789,0.202755668,-0.080398283,-0.036679413,-0.037396592,-0.04281325,-0.003102914,-0.09128504,-0.012359784,-0.080171149,-0.090631875,-0.011648487,-0.034244534,-0.015955954,-0.001217018,-0.088272637,0.000986519,0.001507816,-0.009430689,0.000986519,0.002145122,-0.009430689,-0.004868559,0.000986519,-0.141960551,0.136358607,0.04357117,-0.145026419,0.140206734,0.039674988
70,Operator - Unique Carrier Code2_PT,0.15183851,0.136578603,0.017307631,0.005447578,0.003148831,-0.000398087,-0.017054074,-0.085952305,-0.060877001,-0.170617031,-0.185530252,-0.089799455,-0.09947986,-0.088359706,-0.045110033,-0.046026664,-0.000325595,0.005547123,0.010895971,-0.001094417,-0.014073408,0.049926838,-0.02110867,0.024798595,0.021452951,,,-0.043371714,-0.044059855,0.000996222,0.007764751,0.009463864,-0.000116737,-0.014750729,0.049544925,-0.02132736,0.024873728,0.018308981,,,-0.012954157,-0.002956215,0.002960964,-0.00321174,8.32E-05,-0.001335597,0.002317883,,,,-0.02104516,-0.001443239,-0.042640707,-0.021499626,-0.011258853,-0.022479965,-0.009008908,-0.012825797,-0.043967405,-0.004050814,-0.016609131,-0.014465827,-0.013224871,-0.011811154,-0.012365951,-0.001534495,-0.02321709,-0.018288147,-0.021901624,-0.038891066,1,-0.014552706,-0.034341507,-0.003855675,-0.053527517,-0.019317268,-0.023996453,-0.013076575,-0.012215314,0.009157196,-0.000718381,-0.001534495,-0.004039595,-0.011409455,-0.000951603,-0.019782362,-0.049738278,-0.037784684,-0.016245079,-0.005965567,-0.003772403,-0.004290253,-0.005795323,-0.033567956,-0.0249602,-0.002518207,-0.028940298,-0.019716865,-0.007887883,-0.037554556,0.478395717,-0.012825797,-0.013076575,-0.014970634,-0.001085005,-0.031919905,-0.004321881,-0.028033679,-0.031691512,-0.00407316,-0.011974386,-0.005579365,-0.000425558,-0.03086655,-0.000718381,0.001554572,-0.003297656,-0.000718381,0.001768428,-0.003297656,-0.001702403,-0.000718381,-0.064535452,0.064922725,0.00013691,-0.062179774,0.062574877,-5.17E-05
71,Operator - Unique Carrier Code2_QX,0.162485218,-0.021803321,0.000846074,-0.002627893,-0.000859832,0.000259148,-0.011443312,-0.050444153,-0.010708808,-0.115350418,-0.11348898,-0.074866127,-0.079035154,-0.083912885,-0.063058172,-0.063660033,0.025737375,-0.004839323,-0.022500569,0.004522122,-0.035805366,-0.016446301,-0.043407804,7.48E-05,0.0035298,,,-0.054926261,-0.055193861,0.020955227,-0.007974517,-0.018154088,-0.003672929,-0.034426761,-0.008763344,-0.04298795,-0.002144972,0.010149392,,,-0.010257245,0.011193389,-0.006116536,-0.001900477,0.001187092,-0.002063091,-0.003798383,,,,-0.022520818,-0.001544437,-0.045630615,-0.02300715,-0.012048308,-0.02405623,-0.0096406,-0.013725124,-0.047050339,-0.004334852,-0.017773741,-0.015480151,-0.014152181,-0.012639335,-0.013233035,-0.001642092,-0.024845041,-0.019570487,-0.023437336,-0.041618055,-0.014552706,1,-0.036749486,-0.004126029,-0.057280793,-0.020671768,-0.025679051,-0.013993487,0.731650612,-0.539763646,0.030827003,-0.001642092,-0.004322846,0.784009179,-0.001018328,-0.021169474,-0.053225858,-0.040434095,-0.017384161,-0.006383865,-0.004036919,-0.00459108,-0.006201684,-0.035921694,-0.026710375,-0.00269478,-0.030969552,-0.021099385,-0.008440971,0.107268018,-0.030084354,-0.013725124,-0.013993487,-0.016020354,-0.001161084,-0.034158085,-0.004624926,-0.029999362,-0.033913677,-0.004358765,-0.012814013,-0.005970582,-0.000455398,-0.03303087,0.030827003,-0.028862146,-0.003528883,0.030827003,-0.028366112,-0.003528883,-0.001821773,0.030827003,-0.069733884,0.070523663,-0.002845046,-0.053531852,0.054258611,-0.002998919
72,Operator - Unique Carrier Code2_UA,-0.226171258,-0.230510362,-0.00288792,0.005189947,-6.20E-06,-0.000198368,-0.002261039,0.394891284,0.126082324,0.192624009,0.253136807,0.205811105,0.215597134,0.206600992,0.091131598,0.092608123,-0.006394683,0.001372116,-0.009134414,-0.000434559,-0.008522637,-0.03419618,0.042397662,-0.004812582,-0.008988822,,,0.101083591,0.102269433,-0.00999458,-0.016845198,-0.010166342,0.006783967,-0.010910264,-0.042370922,0.044639766,-0.006394846,-0.005060965,,,-0.008056922,-0.001369588,-0.008969611,0.003383358,0.023676012,-0.004868487,-0.005650011,,,,-0.053144674,-0.003644566,-0.107679221,-0.054292322,-0.028431623,-0.056767941,-0.022749908,-0.032388577,-0.11102949,-0.010229393,-0.041942511,-0.036530094,-0.033396346,-0.02982633,-0.031227343,-0.003875011,-0.058629379,-0.046182477,-0.055307474,-0.098210372,-0.034341507,-0.036749486,1,-0.009736612,-0.135171335,-0.048781282,-0.060597479,-0.033021859,-0.030846943,0.041903492,-0.028098214,-0.003875011,-0.010201061,-0.028811934,-0.002403052,-0.049955769,-0.105039612,0.030863498,0.087179208,0.131815942,0.011763658,-0.006821336,0.069130059,-0.08476809,-0.063031198,0.072189989,-0.073082013,-0.049790372,-0.01991902,-0.094835325,-0.070993121,-0.032388577,-0.033021859,-0.037804865,-0.002739928,0.122029441,-0.01091391,0.153661665,-0.080029566,-0.010285822,-0.030238536,-0.014089392,-0.001074649,0.388628753,-0.028098214,0.029319669,-0.008327467,-0.028098214,0.02963745,-0.008327467,-0.004299025,-0.028098214,0.099189878,-0.097968323,-0.012516478,0.101980129,-0.100689368,-0.013278157
73,Operator - Unique Carrier Code2_VX,-0.025393259,-0.022650579,-0.033458717,-0.044680229,-0.002021778,0.001181952,,,-0.014327727,0.017287771,0.017692396,,0.044890181,0.045412593,0.001483889,0.003707126,-0.01159879,-0.001253277,-0.001889233,-0.001952035,-0.013900122,0.015448016,0.001094834,-0.007368579,-0.004944497,,,0.005368702,0.007780996,-0.011136603,-0.0058503,0.001377328,-0.000359487,-0.013342525,0.014457394,-0.004340017,-0.002706399,0.005114488,,,-0.006294783,-0.005755588,-0.00572416,-0.002141765,0.006282512,-0.000546607,-0.00391116,,,,-0.00596679,-0.000409192,-0.012089628,-0.006095642,-0.003192145,-0.006373591,-0.002554234,-0.00363641,-0.012465777,-0.0011485,-0.004709073,-0.004101397,-0.003749557,-0.003348735,-0.003506034,-0.000435065,-0.006582583,-0.005185113,-0.006209617,-0.011026518,-0.003855675,-0.004126029,-0.009736612,1,-0.01517629,-0.005476893,-0.00680355,-0.003707512,-0.003463324,-0.220859744,0.31255558,-0.000435065,-0.001145319,-0.003234845,-0.000269801,-0.005608758,-0.014101953,-0.010712833,-0.004605856,-0.001691376,-0.001069564,-0.001216386,-0.001643108,-0.009517293,-0.007076795,-0.00071397,-0.008205244,-0.005590188,-0.002236398,-0.010647586,-0.007970715,-0.00363641,-0.003707512,-0.004244521,-0.000307624,-0.009050032,-0.001225353,-0.007948197,-0.008985277,-0.001154835,-0.003395016,-0.001581879,-0.000120656,-0.008751382,0.31255558,-0.301726463,-0.000934962,0.31255558,-0.299021064,-0.000934962,-0.000482671,0.31255558,0.005212973,-0.005017305,-0.001629699,0.010197972,-0.01002544,-0.00165641
74,Operator - Unique Carrier Code2_WN,-0.352529255,-0.090469101,-0.005810156,-0.002415788,-0.001575794,-0.003476741,0.013659349,,-0.000460809,0.146026505,0.250656137,-0.045497643,-0.026180287,-0.068549753,-0.130165254,-0.131390239,-0.019577169,-0.001506173,-0.015550612,-0.010326233,0.052407763,-0.052276027,-0.027839999,-0.082851513,-0.017778737,,,-0.133842739,-0.13482478,-0.02075003,-0.010756788,-0.016282586,-0.014894475,0.054397172,-0.055356624,-0.02726617,-0.089498617,-0.018887183,,,0.093279227,0.038501751,0.017442863,-0.012404088,-0.043108439,0.006503401,0.022819809,,,,-0.082835691,-0.005680723,-0.167837752,-0.08462451,-0.044315882,-0.088483215,-0.035459891,-0.050483519,-0.173059759,-0.015944379,-0.065375071,-0.05693883,-0.052054311,-0.046489789,-0.048673524,-0.006039914,-0.091384606,-0.071983833,-0.08620681,-0.153078821,-0.053527517,-0.057280793,-0.135171335,-0.01517629,1,-0.076034546,-0.094452249,-0.051470605,-0.0480806,0.062717392,-0.040161518,-0.006039914,-0.015900219,-0.044908667,-0.003745596,-0.077865199,0.904681406,0.059345135,-0.063942127,-0.023481022,-0.014848528,-0.016886832,-0.022810927,-0.132126566,-0.098245646,-0.009911895,-0.113911679,-0.077607398,-0.031047435,-0.147818192,-0.110655758,-0.050483519,-0.051470605,-0.058925794,-0.004270679,-0.125639689,-0.017011324,-0.110343144,-0.12474071,-0.016032334,-0.047132286,-0.021960894,-0.001675037,-0.121493585,-0.040161518,0.042188473,-0.012979879,-0.040161518,0.042714528,-0.012979879,-0.006700816,-0.040161518,0.021665565,-0.018687011,-0.022624765,0.019766492,-0.016725776,-0.022995597
75,Operator - Unique Carrier Code2_YV,0.215682939,0.294494204,0.002697063,0.004881113,-0.004616991,0.001186403,-0.01710212,-0.109839219,-0.01851272,-0.139309609,-0.150478031,-0.063203937,-0.059506257,-0.062508849,-0.029394459,-0.029221048,-0.007201649,-0.002800921,-0.011032965,-0.011308542,0.028331749,-0.027395771,-0.017416837,-0.033484772,-0.03809368,,,-0.030344576,-0.029838761,-0.009670723,0.009243114,-0.009795325,-0.00988084,0.030753902,-0.020466288,-0.018842155,-0.026152596,-0.032763746,,,-0.008639896,0.011086434,0.009476236,0.005602432,-0.003101324,0.00199541,0.001161498,,,,-0.029894143,-0.002050087,-0.060570095,-0.0305397,-0.015992929,-0.031932248,-0.012796936,-0.018218735,-0.062454638,-0.005754084,-0.02359287,-0.020548359,-0.01878561,-0.016777459,-0.017565535,-0.002179713,-0.032979316,-0.025977872,-0.031110728,-0.055243821,-0.019317268,-0.020671768,-0.048781282,-0.005476893,-0.076034546,1,-0.034086382,-0.018574959,-0.017351558,0.01577228,-0.00489005,-0.002179713,-0.005738148,-0.016206856,-0.001351729,-0.028100368,-0.070652024,-0.053672232,-0.023075743,-0.008473944,-0.005358608,-0.006094201,-0.008232117,-0.047682471,0.102568738,-0.003577052,0.3058574,-0.028007331,-0.011204548,0.135046793,-0.039933982,-0.018218735,-0.018574959,-0.021265424,-0.001541223,-0.045341455,-0.006139128,-0.039821165,-0.045017027,-0.005785826,-0.017009326,-0.007925353,-0.000604495,-0.043845189,-0.00489005,0.005946788,-0.004684241,-0.00489005,0.006217844,-0.004684241,-0.002418223,-0.00489005,-0.049907769,0.047418117,0.022911402,-0.046745984,0.04425533,0.022278879
76,Operator - Unique Carrier Code2_YX,0.267927407,0.196838926,0.005142103,0.005700168,0.004098756,-0.002567794,,-0.083723418,-0.115515806,-0.148029175,-0.194782396,-0.061906344,-0.061414866,-0.039396765,-0.018618609,-0.020050646,0.005997233,-0.002027521,0.01969334,0.000576136,-0.025930258,0.064338463,0.0260782,0.02435751,0.016837147,,,-0.01964147,-0.020421649,0.004679043,0.008109181,0.022344258,0.005570762,-0.026542687,0.067622354,0.025701667,0.027241438,0.022728041,,,-0.025842492,-0.01130797,-0.015098481,-0.004709538,0.024262105,-0.002573443,-0.003082912,,,,-0.037135344,-0.002546675,-0.075241874,-0.037937273,-0.019866865,-0.039667136,-0.015896714,-0.022631825,-0.077582906,-0.007147885,-0.029307726,-0.025525749,-0.023336013,-0.02084143,-0.021820402,-0.002707701,-0.040967833,-0.032270443,-0.038646621,-0.068625427,-0.023996453,-0.025679051,-0.060597479,-0.00680355,-0.094452249,-0.034086382,1,-0.023074337,-0.021554593,0.025967501,-0.014996922,-0.002707701,-0.007128088,-0.020132612,-0.001679155,-0.034907066,-0.087765929,-0.066673155,-0.028665336,-0.010526572,-0.006656614,-0.007570388,-0.010226167,-0.059232505,-0.044043646,-0.004443515,-0.051066748,-0.034791494,-0.013918604,0.420964323,-0.049607115,-0.022631825,0.544937843,-0.026416507,-0.001914551,-0.05632443,-0.007626198,-0.049466969,-0.055921416,-0.007187315,-0.021129463,-0.009845096,-0.000750921,-0.054465726,-0.014996922,0.016007463,-0.005818896,-0.014996922,0.016268726,-0.005818896,-0.003003984,-0.014996922,0.040708292,-0.041920683,0.009063386,0.042157185,-0.043449913,0.009263857
77,Operator - Unique Carrier Code2_ZW,0.146003783,0.083424498,-0.005121765,0.000216454,0.002276332,0.004215515,-0.001260106,-0.009053185,-0.036099984,-0.13076033,-0.163532952,-0.071488425,-0.078914215,-0.07072486,0.024849999,0.025635795,-0.008224335,0.002887072,0.006159317,0.004909304,-0.039937181,0.018650376,-0.000721504,0.036950303,0.024676031,,,0.009333625,0.01012628,-0.006486485,0.000968812,0.010502315,0.005983293,-0.041013563,0.016691618,0.000723604,0.038250073,0.024776159,,,-0.015945962,-0.009676056,0.004159316,0.004085003,-0.00151042,-0.001853825,0.00272798,,,,-0.020236454,-0.00138778,-0.041002145,-0.020673456,-0.010826207,-0.021616123,-0.008662721,-0.012332938,-0.042277862,-0.003895153,-0.015970889,-0.013909946,-0.012716676,-0.011357284,-0.011890763,-0.001475529,-0.022324923,-0.017585385,-0.021060006,-0.037396592,-0.013076575,-0.013993487,-0.033021859,-0.003707512,-0.051470605,-0.018574959,-0.023074337,1,-0.011745914,0.002414474,0.008254132,-0.001475529,-0.003884365,-0.010971022,-0.000915035,-0.019022181,-0.047826976,-0.036332725,-0.015620826,-0.005736327,-0.003627441,-0.004125391,-0.005572626,0.381638862,-0.02400105,-0.00242144,-0.027828204,-0.018959202,-0.007584774,-0.03611144,-0.027032794,-0.012332938,-0.012574079,-0.014395354,-0.001043311,-0.030693313,-0.004155804,-0.026956424,-0.030473696,-0.00391664,-0.011514244,-0.005364965,-0.000409205,-0.029680435,0.008254132,-0.007147142,-0.003170937,0.008254132,-0.006865863,-0.003170937,-0.001636985,0.008254132,-0.052306633,0.047860042,0.038493126,-0.062525773,0.057833785,0.040102446
78,Aircraft group2_4.0,0.136387547,-0.032237236,-0.005358875,-0.001801024,-0.002531989,-0.001293,0.098677398,8.92E-05,-0.063235951,-0.10554308,-0.103678636,-0.090155598,-0.096583488,-0.106276811,-0.058511527,-0.059267844,0.000611038,-0.008434719,-0.012225078,0.00197039,-0.026427075,-0.005760296,-0.029170299,-7.95E-05,0.001342624,,,-0.054226844,-0.05465417,0.000813791,-0.010598545,-0.01060284,-0.0017544,-0.024819432,-0.00296761,-0.031144221,-0.001141432,0.003118583,,,-0.011740996,0.01559272,-0.005005269,-0.002139428,0.000727333,-0.001731726,-0.003394237,,,,-0.018903622,-0.001296377,-0.038301623,-0.019311842,-0.010113161,-0.020192422,-0.008092169,-0.011520654,-0.039493318,0.329765465,-0.014919,-0.012993797,-0.011879119,-0.01060926,-0.011107602,0.125620593,-0.020854538,-0.01642716,-0.019672933,-0.034933543,-0.012215314,0.731650612,-0.030846943,-0.003463324,-0.0480806,-0.017351558,-0.021554593,-0.011745914,1,-0.699714412,-0.011080667,0.125620593,0.330699268,0.934028841,-0.000854768,-0.017769325,-0.044676951,-0.033939746,-0.014591993,-0.005358516,-0.003388527,-0.00385368,-0.005205596,-0.030152108,-0.02242027,-0.002261956,-0.025995357,-0.017710493,-0.007085219,-0.033733035,-0.025252335,-0.011520654,-0.011745914,-0.013447234,-0.000974596,-0.028671762,-0.00388209,-0.025180995,-0.028466609,-0.003658679,-0.010755882,-0.005011613,-0.000382254,-0.027725595,-0.011080667,0.011478358,-0.002962089,-0.011080667,0.011582208,-0.002962089,-0.001529168,-0.011080667,-0.066937926,0.067989256,-0.005163113,-0.059688787,0.060722899,-0.005247739
79,Aircraft group2_6.0,-0.158582643,-0.018590298,0.080274932,0.041111583,0.002471525,0.002518642,-0.086594256,0.015335618,0.089416849,0.133504534,0.135602238,0.090155598,0.081581185,0.086173024,0.056149962,0.056236147,-0.00226122,0.007386764,0.007553539,-0.005122879,0.02531595,-0.010592285,0.022487789,-0.005990072,-0.000213927,,,0.052181251,0.051311542,-0.00685784,0.004215417,0.008679159,0.002358299,0.022002213,-0.014190285,0.021787503,-0.005581279,-0.0029676,,,0.013456489,-0.008066184,0.003494674,0.005361266,-0.001764902,0.002474904,-0.001018787,,,,0.01608822,-0.082671262,0.051637085,0.018928224,-0.086331552,0.028858091,-0.007384028,0.000563039,0.055753263,-0.232037691,-0.112240336,-0.002274797,0.009260319,0.000193782,0.01587448,-0.08789854,0.013894259,0.016643597,0.014830146,0.024015229,0.009157196,-0.539763646,0.041903492,-0.220859744,0.062717392,0.01577228,0.025967501,0.002414474,-0.699714412,1,-0.706625501,-0.08789854,-0.231395044,-0.653553441,0.001221596,0.025395111,0.063850266,0.04850514,0.020854212,0.007658147,0.004842728,0.005507505,0.007439601,0.04309202,0.03204203,0.003232685,0.037151381,0.025311031,0.010125872,0.048209718,0.036089488,0.016464795,0.016786725,0.019218175,0.001392848,0.040976377,0.005548107,0.035987532,0.040683183,0.005228817,0.015371817,0.007162369,0.0005463,0.039624159,-0.706625501,0.681589952,0.004233284,-0.706625501,0.675332229,0.004233284,0.002185418,-0.706625501,0.071712103,-0.071021479,-0.009267944,0.064837877,-0.064132381,-0.008879861
80,Aircraft group2_UNK,0.086876797,0.05794865,-0.107048856,-0.055757856,-0.000951494,-0.002244577,-0.005310921,-0.027023564,-0.062520935,-0.082325705,-0.087108354,,-0.018525288,-0.015351649,-0.02063831,-0.020009856,0.002559714,-0.001984829,0.001519125,0.005197951,-0.009297925,0.021155103,-0.002194813,0.008666911,-0.001026849,,,-0.019327211,-0.01768669,0.008792542,0.004597058,-0.001656626,-0.001565706,-0.006260817,0.02323759,0.000687558,0.009114886,0.001068237,,,-0.007205648,-0.004153743,6.61E-05,-0.005384913,0.001749863,-0.001748831,0.004787705,,,,-0.003795039,0.11699445,-0.034338435,-0.007365723,0.130849993,-0.020391863,0.018349773,0.010622381,-0.038919332,-0.001840021,0.171872971,0.016053393,-0.001195696,0.010236535,-0.011217312,-0.00139196,0.001207981,-0.007025138,-0.00127223,0.000986519,-0.000718381,0.030827003,-0.028098214,0.31255558,-0.040161518,-0.00489005,-0.014996922,0.008254132,-0.011080667,-0.706625501,1,-0.00139196,-0.003664368,-0.010349662,-0.000863211,-0.017944833,-0.045118226,-0.034274969,-0.014736118,-0.005411442,-0.003421995,-0.003891743,-0.005257012,-0.03044992,-0.022641716,-0.002284298,-0.026252113,-0.01788542,-0.007155199,-0.034066216,-0.025501753,-0.011634444,-0.011861928,-0.013580053,-0.000984222,-0.028954953,-0.003920434,-0.025429708,-0.028747774,-0.003694816,-0.010862118,-0.005061113,-0.000386029,-0.027999441,1,-0.965352987,-0.002991346,1,-0.956697249,-0.002991346,-0.001544272,1,-0.03407401,0.03206611,0.018085554,-0.031632316,0.029620652,0.017626192
81,Aircraft type2_432.0,0.017133085,0.004147673,-0.001168763,-0.007992046,-0.00374995,-0.001926843,0.090421235,0.160943817,-0.047401897,-0.022505996,-0.024405883,-0.000540063,0.000383549,0.000539354,-0.014663383,-0.014787196,0.003592423,-0.00436972,-0.004802585,0.000704213,-0.019283657,0.00428064,-0.008415672,0.00591929,-0.003387151,,,-0.015363253,-0.015477288,0.020543346,-0.003460362,-0.004252554,0.002775446,-0.018314981,0.002375468,-0.00477081,0.002708847,-0.005206603,,,0.000591684,0.005097664,2.81E-05,0.016156634,0.005803159,-0.00021754,-0.003065081,,,,-0.002374684,-0.000162852,-0.004811473,-0.002425965,-0.001270421,-0.002536584,-0.001016543,-0.001447231,-0.004961174,-0.000457084,-0.001874134,-0.001632288,-0.001492262,-0.001332742,-0.001395344,1,-0.002619759,-0.00206359,-0.002471325,-0.004388372,-0.001534495,-0.001642092,-0.003875011,-0.000435065,-0.006039914,-0.002179713,-0.002707701,-0.001475529,0.125620593,-0.08789854,-0.00139196,1,-0.000455818,-0.001287415,-0.000107377,-0.002232193,-0.005612345,-0.004263531,-0.001833055,-0.00067314,-0.000425669,-0.000484102,-0.00065393,-0.003787726,-0.002816448,-0.000284148,-0.003265552,-0.002224803,-0.000890049,-0.004237564,-0.003172213,-0.001447231,-0.001475529,-0.00168925,-0.000122429,-0.003601764,-0.00048767,-0.003163251,-0.003575992,-0.000459605,-0.00135116,-0.000629562,-4.80E-05,-0.003482906,-0.00139196,0.001441918,-0.000372099,-0.00139196,0.001454964,-0.000372099,-0.000192095,-0.00139196,-0.004941595,0.00505574,-0.000648593,-0.01520838,0.015379143,-0.000659224
